japanese,reading,english,type
〜さん,san,Mr.; Mrs.; Miss; Ms.; -san,suffix
〜ずつ,zutsu,apiece; each,particle
〜たち,tachi,pluralizing suffix (esp. for people and animals; formerly honorific),suffix
〜ちゃん,chan,suffix for familiar person,suffix
〜ない,nai,not,particle
〜ヶ月,kagetsu,months (period of),counter
〜中,juu,through; throughout; in the course of,suffix
〜人,nin,counter for people,counter
〜個,ko,counter for articles,counter
〜冊,satsu,counter for books,counter
〜匹,hiki,counter for small animals,counter
〜君,kun,Mr (junior); master; boy,suffix
〜回,kai,counter for occurrences,counter
〜家,ka,-ist; -er,suffix
〜屋,ya,(something) shop,suffix
〜建て,date,indicates storeys structures or materials used in a building,suffix
〜時,ji,hour; o'clock,counter
〜枚,mai,counter for flat objects (e.g. sheets of paper),counter
〜様,sama,Mr.; Mrs.; Miss; Ms.,suffix
ああ,aa,like that; so,interjection
あそこ,asoko,there (place physically distant from both speaker and listener); over there; that place; yonder; you-know-where,pronoun
あちら,achira,that way (direction distant from both speaker and listener); over there; yonder,pronoun
あなた,anata,you (referring to someone of equal or lower status),pronoun
あの,ano,that; those; the,determiner
あまり,amari,remainder; remnant; rest; balance; surplus; remains (of a meal); leftovers,adverb
ある,aru,to be; to exist; to live,verb
あれ,are,that (indicating something distant from both speaker and listener),pronoun
あんな,anna,such; so; that sort of; that kind of; like that,determiner
いい,ii,good; excellent; fine; nice; pleasant; agreeable,adjective
いいえ,iie,no; nay,interjection
いかが,ikaga,how; in what way; how about,adverb
いくつ,ikutsu,how many?,pronoun
いくら,ikura,how much?; how many?,pronoun
いじめる,ijimeru,to ill-treat; to bully; to torment; to pick on; to tease; to be cruel to; to persecute,verb
いたす,itasu,to do,verb
いただく,itadaku,to receive; to get; to accept; to take; to buy,verb
いつ,itsu,when; at what time; how soon,adverb
いつも,itsumo,always; usually; every time,adverb
いらっしゃる,irassharu,to come; to go; to be (somewhere),verb
いる,iru,to be (of animate objects); to exist,verb
いろいろ,iroiro,various; all sorts of; variety of,adjective
うち,uchi,house,noun
うまい,umai,skillful; skilful; clever; expert; wise; successful,adjective
うるさい,urusai,noisy; loud,adjective
うん,un,yes; yeah; uh huh,interjection
ええ,ee,yes; that is correct; right,interjection
おいしい,oishii,delicious; tasty; sweet,adjective
おいでになる,oideninaru,to be,verb
おかげ,okage,grace (of God); benevolence (of Buddha); blessing,noun
おかしい,okashii,funny; amusing; comical; laughable; ridiculous,adjective
おじいさん,ojiisan,grandfather,noun
おじさん,ojisan,uncle,noun
おっしゃる,ossharu,to say; to speak; to tell; to talk,verb
おばあさん,obaasan,grandmother,noun
おばさん,obasan,aunt,noun
おまわりさん,omawarisan,police officer,noun
おもちゃ,omocha,toy; plaything,noun
おる,oru,to be (animate); to be; to exist,verb
お兄さん,oniisan,older brother; elder brother,noun
お土産,omiyage,local specialty or souvenir bought as a gift while travelling,noun
お姉さん,oneesan,older sister; elder sister,noun
お嬢さん,ojousan,(another's) daughter,noun
お子さん,okosan,child,noun
お宅,otaku,your house; your home; your family,noun
お弁当,obentou,bento; Japanese box lunch,noun
お手洗い,otearai,toilet; restroom; lavatory; bathroom,noun
お母さん,okaasan,mother; mom; mum; ma,noun
お父さん,otousan,father; dad; papa; pa; pop; daddy; dada,noun
お皿,osara,plate; dish,noun
お礼,orei,thanks; gratitude,noun
お祝い,oiwai,congratulation; congratulations; celebration; festival,noun
お祭り,omatsuri,festival; feast; carnival,noun
お腹,onaka,belly; abdomen; stomach,noun
お茶,ocha,tea (usu. green),noun
お菓子,okashi,confections; sweets; candy; cake,noun
お見舞い,omimai,calling on someone who is ill; enquiry; inquiry,noun
お酒,osake,alcohol; sake,noun
お金,okane,money,noun
お金持ち,okanemochi,rich person,noun
お釣り,otsuri,change (for a purchase),noun
お風呂,ofuro,bath,noun
かかる,kakaru,to take (a resource e.g. time or money),verb
かける,kakeru,to hang up (e.g. a coat a picture on the wall); to let hang; to suspend (from); to hoist (e.g. sail); to raise (e.g. flag),verb
かたかな,katakana,katakana; angular Japanese syllabary used primarily for loanwords,noun
かばん,kaban,bag; satchel; briefcase; basket,noun
かぶる,kaburu,to put on (one's head); to wear; to have on; to pull over (one's head); to crown (oneself),verb
かわいい,kawaii,cute; adorable; charming; lovely; pretty,adjective
がる,garu,to show signs of being; to feel; to think,auxiliary-verb
きっと,kitto,surely; undoubtedly; almost certainly; most likely (e.g. 90 percent),adverb
きれい,kirei,pretty; lovely; beautiful; fair,adjective
ください,kudasai,please (give me),expression
くださる,kudasaru,to give; to confer; to bestow,verb
くらい,kurai,approximately; about; around; or so,particle
くれる,kureru,to give; to let (one) have,verb
けが,kega,injury (to animate object); hurt,noun
けど,kedo,but; however; although,conjunction
こう,kou,in this way; thus; such,adverb
ここ,koko,here (place physically close to the speaker place pointed by the speaker while explaining); this place,pronoun
こちら,kochira,this way (direction close to the speaker or towards the speaker); this direction,pronoun
こと,koto,thing; matter,noun
この,kono,this,determiner
この間,konoaida,the other day; lately; recently; during this period,noun
この頃,konogoro,these days; nowadays; now; at present; recently; lately,noun
これ,kore,this (indicating an item near the speaker the action of the speaker or the current topic),pronoun
これから,korekara,after this,adverb
ころ,koro,(approximate) time; around; about; toward,noun
こんな,konna,this sort of; this kind of; like this; such,determiner
ご〜,go,honorific/polite/humble prefix,prefix
ございます,gozaimasu,to be; to exist,verb
ごみ,gomi,rubbish; trash; garbage; refuse,noun
ご主人,goshujin,your husband; her husband,noun
ご存じ,gozonji,knowing,noun
ご覧になる,gorannninaru,to see; to look; to watch,verb
ご飯,gohan,cooked rice,noun
ご馳走,gochisou,feast; treating (someone),noun
さあ,saa,come; come now; come along; go on; hurry up,interjection
さっき,sakki,a short while ago; a moment ago; just now; some time ago,adverb
しかし,shikashi,however; but,conjunction
しかる,shikaru,to scold; to chide; to rebuke; to reprimand,verb
しっかり,shikkari,tightly (holding on); firmly; securely,adverb
しばらく,shibaraku,for a moment; for a minute,adverb
しまう,shimau,to finish; to stop; to end; to put an end to; to bring to a close,verb
じゃあ,jaa,then; well; so; well then,conjunction
すぐに,suguni,immediately; right away; at once; instantly,adverb
すごい,sugoi,terrible; dreadful,adjective
すっかり,sukkari,all; completely; totally; entirely; thoroughly,adverb
すり,suri,pickpocket,noun
する,suru,to do; to carry out; to perform,verb
すると,suruto,thereupon; hereupon,conjunction
ずいぶん,zuibun,very; extremely; surprisingly; considerably; awfully; terribly,adverb
ずっと,zutto,continuously in some state (for a long time distance); throughout; all along; the whole time; all the way,adverb
そう,sou,appearing that; seeming that; looking like; having the appearance of,adverb
そうして,soushite,and; like that,conjunction
そこ,soko,there (place relatively near listener),pronoun
そちら,sochira,that way (direction distant from the speaker close to the listener),pronoun
その,sono,that; the,determiner
そば,soba,near; close; beside; vicinity; proximity; besides; while,noun
それ,sore,that (indicating an item or person near the listener the action of the listener or something on their mind); it,pronoun
それから,sorekara,and then; after that,conjunction
それで,sorede,and; thereupon; because of that,conjunction
それでは,soredewa,well then ...,conjunction
それに,soreni,besides; in addition; also; moreover,conjunction
それほど,sorehodo,to that degree; to that extent; that much,adverb
そろそろ,sorosoro,slowly; quietly; steadily; gradually; gingerly,adverb
