japanese,reading,english,type
する,suru,to do; to carry out; to perform,verb
一番,ichiban,number one; first; first place,noun
お兄さん,oniisan,older brother; elder brother,noun
万年筆,mannenhitsu,fountain pen,noun
なくす,nakusu,to lose (something); to mislay,verb
名前,namae,name,noun
かばん,kaban,bag; satchel; briefcase; basket,noun
寒い,samui,cold (e.g. weather),adjective
漢字,kanji,kanji; Chinese characters,noun
甘い,amai,sweet-tasting; sweet; sugary; sugared,adjective
あれ,are,that (indicating something distant from both speaker and listener),pronoun
お菓子,okashi,confections; sweets; candy; cake,noun
お金,okane,money,noun
円,en,yen (Japanese monetary unit),noun
お姉さん,oneesan,older sister; elder sister,noun
お茶,ocha,tea (usu. green),noun
お父さん,otousan,father; dad; papa; pa; pop; daddy; dada,noun
お母さん,okaasan,mother; mom; mum; ma,noun
赤,aka,red; crimson; scarlet,noun
こちら,kochira,this way (direction close to the speaker or towards the speaker); this direction,pronoun
玄関,genkan,entrance; front door; entryway; entranceway; entry hall; vestibule; porch; foyer; mud room,noun
出す,dasu,to take out; to get out,verb
できる,dekiru,to be able (in a position) to do; to be up to the task,verb
かける,kakeru,to hang up (e.g. a coat a picture on the wall); to let hang; to suspend (from); to hoist (e.g. sail); to raise (e.g. flag),verb
かぶる,kaburu,to put on (one's head); to wear; to have on; to pull over (one's head); to crown (oneself),verb
九,kyuu,nine,noun
ころ,koro,(approximate) time; around; about; toward,noun
今日,kyou,today; this day,noun
四,shi,four,noun
十,juu,ten,noun
まっすぐ,massugu,straight (ahead); direct; upright; erect,adverb
など,nado,et cetera; etc.; and the like; and so forth,particle
明日,ashita,tomorrow,noun
暖かい,atatakai,warm; mild; (pleasantly) hot,adjective
言う,iu,to say; to utter; to declare,verb
魚,sakana,fish,noun
曇り,kumori,cloudiness; cloudy weather,noun
二十歳,hatachi,20 years old,noun
町,machi,town; block; neighbourhood; neighborhood,noun
風呂,furo,bath; bathing; bathtub; bathroom,noun
履く,haku,to put on (lower-body clothing e.g. pants skirt footwear); to wear,verb
勉強,benkyou,study,noun
